NGCT22_SLICE63_LAD,0,0,0,0,0,0,0,0,0
NGCT22_SLICE64_LAD,336,243,332,231,322.5,229.5,347.5,239,167.1875
NGCT22_SLICE65_LAD,359,250,335,221,340,228,354,235.5,354.0625
NGCT22_SLICE66_LAD,343,227,352,227,342,223.5,356,234.5,21.375
NGCT22_SLICE67_LAD,357,218,356,215,348.5,214,359,232,96.5625
NGCT22_SLICE68_LAD,356,222,348,207,352,214,362.5,222,128.8125
NGCT23_SLICE64_LAD,0,0,0,0,0,0,0,0,0
NGCT23_SLICE65_LAD,0,0,0,0,0,0,0,0,0
NGCT23_SLICE66_LAD,0,0,0,0,0,0,0,0,0
NGCT23_SLICE67_LAD,311,254,317,257,306,251,320,257.5,10.8125
NGCT23_SLICE68_LAD,308,254,327,248,306,249,328,259.5,40.5625
NGCT23_SLICE69_LAD,299,245,330,251,298.5,245,337,259,28.3125
NGCT23_SLICE70_LAD,326,244,348,247,318,237,349.5,258,59.0625
NGCT23_SLICE71_LAD,330,231,354,246,321,231,359.5,255.5,50.375
NGCT23_SLICE72_LAD,338,241,352,244,332.5,232,360,252,59.8125
NGCT23_SLICE73_LAD,351,226,363,243,343,225,367,249,29.25
NGCT23_SLICE74_LAD,365,220,363,232,356.5,220,370,235,32.5625
NGCT23_SLICE75_LAD,361,216,367,232,359.5,212.5,374,233,16.125
NGCT23_SLICE76_LAD,369,212,377,214,365.5,206,379,222,29.0625
NGCT23_SLICE77_LAD,373,211,375,214,368.5,204,380.5,218.5,29.9375
NGCT23_SLICE78_LAD,373,202,380,210,370,202,382,216,12.25
NGCT23_SLICE79_LAD,372,201,372,215,370,198,380.5,216,21.5625
NGCT26_SLICE50_LAD,0,0,0,0,0,0,0,0,0
NGCT26_SLICE51_LAD,0,0,0,0,0,0,0,0,0
NGCT26_SLICE52_LAD,280,220,285,225,279,218,292,226,13.75
NGCT26_SLICE53_LAD,277,206,285,212,274,201.5,292,220,35.5625
NGCT26_SLICE54_LAD,278,193,295,214,276.5,191.5,298.5,218,8.1875
NGCT26_SLICE55_LAD,284,182,300,201,284,179.5,305,206,14.0625
