NGCT,13,49,0,0,0,0,0,0,0,0,0,0,0,0,497,572,527,592,13,49
NGCT,13,50,502,473,524,488,0,0,0,0,0,0,0,0,514,553,538,574,13,50
NGCT,13,51,488,473,509,488,0,0,0,0,0,0,0,0,514,577,534,592,13,51
NGCT,13,52,486,471,505,486,549,554,597,588,0,0,0,0,522,583,547,596,13,52
NGCT,13,53,493,466,505,482,559,558,617,585,0,0,0,0,538,567,556,587,13,53
NGCT,13,54,489,457,502,466,598,472,643,546,582,549,633,581,583,585,637,629,13,54
NGCT,13,55,465,445,487,459,616,479,643,511,587,583,633,627,586,552,603,580,13,55
NGCT,13,56,0,0,0,0,627,478,649,497,595,605,646,645,584,563,616,604,13,56
NGCT,13,57,0,0,0,0,622,447,645,464,604,585,635,634,585,559,608,593,13,57
NGCT,13,58,0,0,0,0,617,443,650,468,609,583,637,638,590,565,606,584,13,58
NGCT,13,59,479,469,508,495,617,441,644,457,609,582,636,629,0,0,0,0,13,59
NGCT,13,60,490,479,512,503,628,441,649,453,0,0,0,0,0,0,0,0,13,60
NGCT,13,61,487,494,507,511,0,0,0,0,0,0,0,0,0,0,0,0,13,61
NGCT,14,51,491,396,525,414,0,0,0,0,0,0,0,0,0,0,0,0,14,52
NGCT,14,52,492,392,524,412,0,0,0,0,0,0,0,0,0,0,0,0,14,53
NGCT,14,53,482,390,504,408,0,0,0,0,0,0,0,0,0,0,0,0,14,54
NGCT,14,54,462,396,484,410,577,478,626,504,0,0,0,0,537,502,576,515,14,55
NGCT,14,55,443,409,461,422,584,472,634,499,0,0,0,0,545,494,585,512,14,56
NGCT,14,56,446,400,472,417,620,456,661,481,595,502,626,520,596,472,620,499,14,57
NGCT,14,57,0,0,0,0,638,448,677,469,601,503,626,522,0,0,0,0,14,58
NGCT,14,58,0,0,0,0,646,448,672,464,0,0,0,0,0,0,0,0,14,59
NGCT,14,59,0,0,0,0,668,437,693,454,0,0,0,0,0,0,0,0,14,60
NGCT,14,60,0,0,0,0,676,419,707,447,0,0,0,0,0,0,0,0,14,61
NGCT,15,36,527,432,546,453,0,0,0,0,0,0,0,0,592,522,626,536,15,37
NGCT,15,37,529,403,546,429,649,477,684,507,647,544,701,562,612,516,654,541,15,38
NGCT,15,38,516,404,548,430,609,457,662,507,662,538,728,559,607,516,644,542,15,39
NGCT,15,39,514,412,537,430,610,465,665,503,674,512,752,554,636,528,666,548,15,40
NGCT,15,40,518,402,538,415,620,452,659,468,686,505,774,551,634,516,653,536,15,41
