1, 1
NGCT,13,51,488,473,509,488
NGCT,13,52,486,471,505,486
NGCT,13,53,493,466,505,482
NGCT,13,54,489,457,502,466
NGCT,13,55,465,445,487,459
NGCT,13,56,0,0,0,0
NGCT,13,57,0,0,0,0
NGCT,13,58,0,0,0,0
NGCT,13,59,479,469,508,495
NGCT,13,60,490,479,512,503
NGCT,13,61,487,494,507,511
NGCT,13,62,0,0,0,0
NGCT,13,63,0,0,0,0
NGCT,13,64,0,0,0,0
NGCT,13,65,0,0,0,0
NGCT,13,66,0,0,0,0
NGCT,13,67,0,0,0,0
NGCT,13,68,0,0,0,0
NGCT,13,69,0,0,0,0
NGCT,13,70,0,0,0,0
NGCT,14,51,0,0,0,0
NGCT,14,52,491,396,525,414
NGCT,14,53,492,392,524,412
NGCT,14,54,482,390,504,408
NGCT,14,55,462,396,484,410
NGCT,14,56,443,409,461,422
NGCT,14,57,446,400,472,417
NGCT,14,58,0,0,0,0
NGCT,14,59,0,0,0,0
NGCT,14,60,0,0,0,0
NGCT,14,61,0,0,0,0
NGCT,14,62,0,0,0,0
NGCT,14,63,0,0,0,0
NGCT,14,64,0,0,0,0
NGCT,14,65,0,0,0,0
NGCT,14,66,0,0,0,0
NGCT,14,67,0,0,0,0
NGCT,14,68,0,0,0,0
NGCT,14,69,0,0,0,0
NGCT,14,70,0,0,0,0
NGCT,15,31,0,0,0,0
NGCT,15,32,0,0,0,0
NGCT,15,33,0,0,0,0
NGCT,15,34,0,0,0,0
NGCT,15,35,0,0,0,0
NGCT,15,36,0,0,0,0
NGCT,15,37,527,432,546,453
NGCT,15,38,529,403,546,429
NGCT,15,39,516,404,548,430
NGCT,15,40,514,412,537,430
NGCT,15,41,518,402,538,415
NGCT,15,42,523,387,541,402
NGCT,15,43,508,355,535,375
NGCT,15,44,507,349,527,367
NGCT,15,45,498,357,516,376
NGCT,15,46,476,348,502,362
NGCT,15,47,453,361,475,378
NGCT,15,48,474,374,493,388
NGCT,15,49,499,384,518,410
NGCT,15,50,0,0,0,0
NGCT,1,1,0,0,0,0
NGCT,1,2,0,0,0,0
NGCT,1,3,0,0,0,0
NGCT,1,4,0,0,0,0
NGCT,1,5,0,0,0,0
