NGCT1_SLICE52_LAD,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT1_SLICE53_LAD,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT1_SLICE54_LAD,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT1_SLICE55_LAD,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT1_SLICE56_LAD,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT1_SLICE57_LAD,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT1_SLICE58_LAD,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT1_SLICE59_LAD,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT1_SLICE60_LAD,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT1_SLICE61_LAD,40.4375,259,190,288,218,260.5,194.5,281.0,208.5,1.5,4.5,-7.0,-9.5
NGCT1_SLICE62_LAD,79.375,256,175,294,206,265.5,186.0,284.0,203.5,9.5,11.0,-10.0,-2.5
NGCT1_SLICE63_LAD,15.1875,261,170,292,205,267.5,171.5,288.5,203.0,6.5,1.5,-3.5,-2.0
NGCT1_SLICE64_LAD,41.5,275,163,292,199,277.0,172.0,292.0,190.0,2.0,9.0,0.0,-9.0
NGCT1_SLICE65_LAD,36.0625,270,160,292,198,274.0,168.0,291.5,190.0,4.0,8.0,-0.5,-8.0
NGCT1_SLICE66_LAD,41.625,275,156,299,188,279.0,164.0,293.5,180.5,4.0,8.0,-5.5,-7.5
NGCT1_SLICE67_LAD,14.125,278,158,298,176,284.0,159.5,294.0,174.5,6.0,1.5,-4.0,-1.5
NGCT1_SLICE68_LAD,16.5625,282,149,305,169,286.0,154.0,300.0,169.5,4.0,5.0,-5.0,0.5
NGCT1_SLICE69_LAD,32.125,282,154,304,174,286.5,155.5,299.0,165.0,4.5,1.5,-5.0,-9.0
NGCT1_SLICE70_LAD,18.4375,287,147,300,169,289.5,152.0,300.5,162.5,2.5,5.0,0.5,-6.5
NGCT1_SLICE71_LAD,12.9375,280,143,302,159,285.0,147.5,301.5,156.5,5.0,4.5,-0.5,-2.5
NGCT1_SLICE72_LAD,40.3125,282,137,307,159,287.0,146.0,300.0,156.5,5.0,9.0,-7.0,-2.5
NGCT1_SLICE73_LAD,36.375,275,129,299,158,279.5,137.5,297.0,151.0,4.5,8.5,-2.0,-7.0
NGCT1_SLICE74_LAD,20.3125,278,131,301,151,280.5,136.0,294.0,150.0,2.5,5.0,-7.0,-1.0
NGCT1_SLICE75_LAD,22.5,274,136,294,150,282.0,139.0,293.0,146.0,8.0,3.0,-1.0,-4.0
NGCT1_SLICE76_LAD,27.1875,276,131,299,146,282.0,136.5,292.5,145.5,6.0,5.5,-6.5,-0.5
NGCT1_SLICE77_LAD,9.1875,281,133,294,147,282.5,137.0,291.5,143.5,1.5,4.0,-2.5,-3.5
NGCT1_SLICE78_LAD,19.625,285,134,297,150,285.5,137.0,292.5,143.0,0.5,3.0,-4.5,-7.0
NGCT1_SLICE79_LAD,9.375,281,131,298,146,285.0,133.5,295.0,143.5,4.0,2.5,-3.0,-2.5
